,series_id,night,onset,wakeup,sleeping_hours
0,038441c925bb,1,22,6,8.25
1,038441c925bb,2,19,5,10.07
2,038441c925bb,3,23,5,6.12
3,038441c925bb,4,23,6,7.8
4,038441c925bb,6,22,7,9.12
5,038441c925bb,7,23,12,13.47
6,038441c925bb,8,0,8,8.38
7,038441c925bb,10,21,8,11.68
8,038441c925bb,11,21,2,5.23
9,038441c925bb,12,21,8,11.18
10,038441c925bb,13,22,8,10.17
11,038441c925bb,15,21,7,10.25
12,038441c925bb,16,22,6,8.32
13,038441c925bb,17,22,7,9.12
14,038441c925bb,18,20,7,11.37
15,038441c925bb,19,22,7,9.3
16,038441c925bb,20,22,6,8.27
17,038441c925bb,21,21,5,8.82
18,038441c925bb,22,21,1,4.02
19,03d92c9f6f8a,1,20,6,10.55
20,03d92c9f6f8a,2,20,6,10.2
21,03d92c9f6f8a,3,20,6,10.12
22,03d92c9f6f8a,5,21,7,10.22
23,03d92c9f6f8a,11,19,7,12.75
24,03d92c9f6f8a,12,20,7,11.47
25,03d92c9f6f8a,14,20,11,15.35
26,03d92c9f6f8a,15,20,6,10.37
27,0402a003dae9,1,0,6,6.37
28,0402a003dae9,2,22,6,8.27
29,0402a003dae9,6,23,2,3.02
30,0402a003dae9,7,1,6,5.32
31,0402a003dae9,8,22,6,8.03
32,0402a003dae9,9,19,1,6.35
33,0402a003dae9,10,22,6,8.1
34,0402a003dae9,11,22,6,8.35
35,0402a003dae9,12,21,9,12.57
36,0402a003dae9,13,23,7,8.02
37,0402a003dae9,14,1,7,6.15
38,0402a003dae9,15,22,5,7.18
39,0402a003dae9,16,0,7,7.17
40,0402a003dae9,17,23,9,10.2
41,0402a003dae9,18,6,10,4.12
42,0402a003dae9,20,2,9,7.22
43,0402a003dae9,21,3,7,4.03
44,0402a003dae9,22,5,8,3.42
45,04f547b8017d,2,20,6,10.17
46,04f547b8017d,3,19,3,8.5
47,04f547b8017d,5,20,6,10.2
48,04f547b8017d,6,21,6,9.42
49,04f547b8017d,7,21,7,10.13
50,04f547b8017d,8,21,6,9.13
51,04f547b8017d,9,22,6,8.58
52,04f547b8017d,10,21,8,11.57
53,04f547b8017d,11,21,7,10.5
54,04f547b8017d,12,20,7,11.58
55,04f547b8017d,13,21,6,9.57
56,04f547b8017d,14,21,8,11.13
57,04f547b8017d,15,22,7,9.73
58,04f547b8017d,16,21,7,10.58
59,04f547b8017d,18,21,8,11.27
60,04f547b8017d,19,21,8,11.5
61,04f547b8017d,21,21,8,11.48
62,04f547b8017d,22,22,8,10.67
63,04f547b8017d,24,21,7,10.02
64,04f547b8017d,25,21,8,11.43
65,04f547b8017d,26,20,8,12.8
66,05e1944c3818,2,22,8,10.5
67,05e1944c3818,3,23,9,10.17
68,05e1944c3818,4,22,7,9.75
69,05e1944c3818,5,1,7,6.18
70,05e1944c3818,6,0,7,7.05
71,05e1944c3818,7,22,7,9.55
72,05e1944c3818,8,22,8,10.35
73,062cae666e2a,1,0,11,11.4
74,062cae666e2a,2,0,8,8.12
75,062cae666e2a,13,22,7,9.75
76,062dbd4c95e6,1,23,8,9.18
77,062dbd4c95e6,4,0,11,11.33
78,062dbd4c95e6,5,23,7,8.32
79,062dbd4c95e6,6,23,9,10.08
80,062dbd4c95e6,9,23,9,10.2
81,062dbd4c95e6,10,23,8,9.37
82,062dbd4c95e6,11,0,8,8.6
83,062dbd4c95e6,14,20,8,12.0
84,062dbd4c95e6,15,0,8,8.53
85,062dbd4c95e6,20,22,8,10.07
86,062dbd4c95e6,24,23,9,10.45
87,062dbd4c95e6,25,0,9,9.28
88,062dbd4c95e6,26,23,9,10.52
89,062dbd4c95e6,27,23,9,10.33
90,08db4255286f,1,2,5,3.33
91,08db4255286f,2,1,5,4.33
92,08db4255286f,3,23,6,7.13
93,08db4255286f,4,21,6,9.68
94,08db4255286f,5,23,8,9.5
